FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
539,Joseph Keels Elementary,7500 Springcrest Drive,Columbia,0,0,0,0
540,Joseph R. Pye Elementary,9701 Patriot Boulevard,Ladson,0,0,0,0
541,Joseph S. Shanklin Elementary,121 Morrall Drive,Beaufort,0,0,0,0
542,Kelly Mill Middle,1141 Kelly Mill Road,Blythewood,0,0,0,0
543,Kelly Edwards Elementary,1071 Elko Street,Williston,0,< 5,0,< 5
544,Kelly Miller Elementary,255 Kelly Miller Road,Winnsboro,0,0,0,0
545,Kenneth Gardner Elementary,1503 Woodland Drive,Kingstree,0,0,0,0
546,Kensington Elementary,86 Kensington Boulevard,Georgetown,0,0,0,0
547,Keowee Elementary,7051 Keowee School Road,Seneca,< 5,0,< 5,0
548,Kershaw Elementary,108 North Rollins Drive,Kershaw,< 5,0,< 5,0
549,Killian Elementary,2621 Clemson Road,Columbia,0,0,0,0
550,Kinard Elementary,201 Pressly Street,Clover,0,0,0,0
551,Kings Town Elem.,1774 Masons Bend Dr,Fort Mill,0,0,0,0
552,Kingsbury Elementary,825 Kingsbury Road,Sumter,0,0,0,0
553,Kingston Elementary,4580 Highway 472,Conway,0,< 5,0,< 5
554,Kingstree Middle Magnet,710 Third Avenue,Kingstree,0,0,0,0
555,Kingstree Senior High,615 Martin Luther King Avenue,Kingstree,0,0,0,0
556,Knightsville Elementary,847 Orangeburg Road,Summerville,0,0,0,0
557,L. B. Nelson Elementary,225 North Brickyard Road,Columbia,< 5,0,0,0
558,L. E. Gable Middle,198 Ott Shoals Road,Roebuck,< 5,0,0,0
559,L. W. Conder Elementary,8040 Hunt Club Road,Columbia,0,0,0,0
560,La France Elementary,550 Willliams Street,Pendleton,0,0,0,0
561,Ladson Elementary,3321 Ladson Road,Ladson,< 5,0,< 5,0
562,Lady's Island Elementary,73 Chowan Creek Bluff,Beaufort,0,0,0,0
563,Lady's Island Middle,30 Cougar Drive,Beaufort,0,0,0,0
564,Lake Carolina Elem/Lower,1151 Kelly Mill Road,Blythewood,0,0,0,0
565,Lake Carolina Elem/Upper,1261 Kelly Mill Road,Blythewood,0,0,0,0
566,Laing Middle,1560 Mathis Ferry Road,Mt. Pleasant,< 5,0,< 5,0
567,Lake City Early Chood Ctr,906 Matthews Road,Lake City,0,< 5,0,< 5
568,Lake City High,652 North Matthews Road,Lake City,0,0,0,0
569,Lake Forest Elementary,16 Berkshire Avenue,Greenville,0,0,0,0
570,Lake Marion Sch & Tech Ctr,3656 Tee Vee Road,Santee,0,0,0,0
571,Lake Murray Elementary,1531 Three Dog Road,Chapin,0,0,0,0
572,Lake Murray Elementary,205 Wise Ferry Road,Lexington,0,0,0,0
573,Lake View Elementary,1311 Scott Street,Lake View,0,0,0,0
574,Lake View High,401 East Third Avenue,Lake View,0,0,0,0
575,Lakes and Bridges Charter,1600 E Main Street ,Easley,0,0,0,0
576,Lakeview Elementary,660 Center Street,Greenwood,< 5,< 5,< 5,< 5
577,Lakeview Middle,3801 Old Buncombe Road,Greenville,0,0,0,0
578,Lakewood Elementary,1675 Highway 396,Myrtle Beach,0,0,0,0
